,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Female,Male,France,Germany,Spain,CustomerValue,PurchaseValue,Worth,Affordance,TotalBalance,Balance_,Exited
0,0.538,0.32432432432432434,0.2,0.0,0.0,1,1,0.5067348931822989,1,0,1,0,0,0.05,0.0881967213114754,0.0,0.33680981595092024,0.24840206124617858,0.497210912982537,1
1,0.516,0.3108108108108108,0.1,0.33403147867725896,0.0,0,1,0.5627087386845443,1,0,0,0,1,0.025,0.08459016393442623,0.20018253047577086,0.7030674846625767,0.48145421073917094,0.14075247055827345,0
2,0.304,0.32432432432432434,0.8,0.6363571759354565,0.6666666666666666,1,0,0.5696543519906151,1,0,1,0,0,0.6,0.37901639344262295,0.3722839308620207,0.034049079754601225,0.670939497270121,0.22417747422647763,1
3,0.698,0.28378378378378377,0.1,0.0,0.3333333333333333,0,0,0.4691200509648671,1,0,1,0,0,0.05,0.3436065573770492,0.0,0.8147239263803681,0.22994892709213247,0.46028465068705754,0
4,1.0,0.33783783783783783,0.2,0.5002462155052675,0.0,1,1,0.3954003607344501,1,0,0,0,1,0.05,0.16393442622950818,0.28584986512733335,0.4785276073619632,0.5016790763671879,0.2276014097096741,0
5,0.59,0.35135135135135137,0.8,0.4533943642217444,0.3333333333333333,1,0,0.7487971601287923,0,1,0,0,1,0.4,0.3081967213114754,0.25318972462250083,0.05598159509202454,0.6462121380495838,0.17642184825165455,1
6,0.944,0.43243243243243246,0.7,0.0,0.3333333333333333,1,1,0.050260899915941966,0,1,1,0,0,0.35,0.4242622950819672,0.0,0.10113935144609991,0.024464505244053355,0.04909316443574232,0
7,0.052,0.14864864864864866,0.4,0.4585397202505607,1.0,1,0,0.5967334880481086,1,0,0,1,0,0.4,0.37836065573770494,0.3885094610061599,0.07239263803680981,0.5747794663723291,0.020804621156847312,1
8,0.302,0.35135135135135137,0.4,0.5661703921301274,0.3333333333333333,0,1,0.3746803819764787,0,1,1,0,0,0.2,0.2137704918032787,0.31616741844354274,0.1107361963190184,0.5320897972965316,0.32913715637860347,0
9,0.668,0.12162162162162163,0.2,0.5364882610306041,0.0,1,1,0.35860499677719215,0,1,1,0,0,0.05,0.10950819672131147,0.48822396660052386,0.37668711656441717,0.5059345142063559,0.30836046708156695,0
10,0.356,0.17567567567567569,0.6,0.40660620413650816,0.3333333333333333,0,0,0.4008859846115303,0,1,1,0,0,0.3,0.23147540983606557,0.3222811781299955,0.06503067484662577,0.44673589820920273,0.10688511508245327,0
11,0.294,0.08108108108108109,0.3,0.0,0.3333333333333333,1,0,0.38192862418360946,0,1,0,0,1,0.15,0.21114754098360655,0.0,0.16032719836400816,0.18717445295831295,0.3746893562383747,0
12,0.252,0.21621621621621623,1.0,0.0,0.3333333333333333,1,0,0.13125953528561976,1,0,1,0,0,0.5,0.19737704918032786,0.0,0.015460122699386505,0.06420091238172983,0.12860903314382705,0
13,0.398,0.0945945945945946,0.5,0.0,0.3333333333333333,0,0,0.954322187768932,1,0,1,0,0,0.25,0.24524590163934426,0.0,0.09177914110429447,0.4679799700118325,0.9366046433747028,0
14,0.57,0.22972972972972974,0.7,0.0,0.3333333333333333,1,1,0.32973183939066175,1,0,0,0,1,0.35,0.3016393442622951,0.0,0.06836108676599473,0.16156769202531698,0.3234480894239719,0
15,0.532,0.36486486486486486,0.3,0.570468312453076,0.3333333333333333,0,1,0.3216091136703555,0,1,0,1,0,0.15,0.28918032786885245,0.31148823475545884,0.20899795501022497,0.508699350442809,0.3865304030439738,0
16,0.606,0.5405405405405406,0.1,0.5285129113577549,0.0,1,0,0.025432878839929212,0,1,0,1,0,0.025,0.09934426229508196,0.22389801500096612,0.758282208588957,0.3375778056356384,0.6256107271693986,1
17,0.398,0.08108108108108109,0.9,0.0,0.3333333333333333,1,1,0.07198102418780992,1,0,0,0,1,0.45,0.24524590163934426,0.0,0.03190184049079755,0.0351199897125111,0.07041567859962516,0
18,0.474,0.36486486486486486,0.6,0.0,0.0,0,0,0.7934419237037137,0,1,0,0,1,0.15,0.07770491803278688,0.0,0.0770961145194274,0.3890551382028069,0.7786694646306812,0
